keyword,master_category,sub_category
payroll,Income,
direct dep,Income,
cashout,Income,
zelle payment from,Income,
remote online deposit,Income,
claim pmt,Income,
atm cash deposit,Income,
tax ref,Income,
nysttaxrfd,Income,
payment thank you,Transfer,
automatic payment,Transfer,
autopay,Transfer,
e-payment,Transfer,
goldman sachs,Transfer,
internet payment,Transfer,
moneyline,Transfer,
payment to chase card,Transfer,
misc pay,Transfer,
mta*nyct paygo,Expense,
mta*metrocard machine,Expense,
mta*mnr etix,Expense,
blink moto,Expense,
key food,Expense,
atm withdrawal,Expense,
h mart,Expense,
wl *steam,Expense,
trader joe,Expense,
cognosphere pte.,Expense,
actblue* nywfpstate,Expense,
amzn mktp,Expense,
sq *the,Expense,
ls mister,Expense,
sq *bangkok,Expense,
axs.combowery ny,Expense,
apple.com/bill,Expense,
